# producer	gap -q gap/generate-tomlib-scan.g
# gap_version	4.15.1
# tomlib_version	1.2.11
# semantics	exact relative to the complete subgroup-class and intersection data in each supplied TomLib table
table_name	group_order	subgroup_classes	maximal_classes	normal_classes	nonabelian_simple	solvable	chief_factor_orders	cmp	failed_maximal_classes
2xA5	120	22	4	4	false	fail	not_computed	false	19,18
2xA6.2^2	2880	244	10	18	false	fail	not_computed	false	215,203
2xM12	190080	515	12	4	false	fail	not_computed	false	509,508,491,490,473,466,465,438
2xS5	240	57	6	7	false	fail	not_computed	false	50
3.A6.2^2	4320	117	6	7	false	fail	not_computed	false	104,100
3.L3(4)	60480	200	9	3	false	fail	not_computed	false	199,198,197,196,195,191,190,189,182
3.L3(4).2_3	120960	199	6	4	false	fail	not_computed	false	196,195,192,186,183
3.PGL2(9)	2160	47	4	4	false	fail	not_computed	false	41,38
3.S7	15120	182	5	4	false	fail	not_computed	false	176
30.2^2	120	32	5	15	false	true	2,2,2,3,5	true	none
31:3	93	4	2	3	false	true	3,31	true	none
31:5	155	4	2	3	false	true	5,31	true	none
37:3	111	4	2	3	false	true	3,37	true	none
3D4(2)	211341312	2867	9	2	true	fail	not_computed	false	2866,2865,2860,2848,2847,2825,2824,2515,1288
3^(1+2)+.2S4	1296	62	4	7	false	fail	not_computed	false	59,52
3^(1+2)+:2A4	648	41	3	6	false	fail	not_computed	false	39,36
3^(1+2)+:2S4	1296	96	4	7	false	fail	not_computed	false	93,86
3^(1+2)+:D8	216	44	4	8	false	fail	not_computed	false	34
3^(1+4)+.(2S4x2)	23328	278	6	12	false	fail	not_computed	false	275,273,233
3^(1+4)+.2S4	11664	199	4	7	false	fail	not_computed	false	198,196,162
3^(1+4)+.2^(1+4)-.S3	46656	844	10	29	false	fail	not_computed	false	695
3^(1+4)+.4S4	23328	453	6	12	false	fail	not_computed	false	448,387
3^(1+4)+:2S5	58320	160	5	6	false	fail	not_computed	false	159,157,156,140
3^(1+4)+:4S5	116640	390	7	10	false	fail	not_computed	false	387,384,383,336
3^(2+4):80	58320	77	3	12	false	fail	not_computed	false	76,67
3^2.(3x3^(1+2)+):D8	5832	427	5	14	false	fail	not_computed	false	413
